日付,時間帯,主な作業・検討内容
2026/04/10,09:00 - 09:59,"Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（Gemini）の閲覧・調査
「bitlockerに回復キーを要求されるループに陥った後の対処」の操作・実務
「BitLocker解除ができずPCが立ち上がらない」の操作・実務
「マイ アカウント」の操作・実務
「アクティブなユーザー」の操作・実務
Webサイト（ユーザーの詳細パネル - Microsoft 365 管理センター）の閲覧・調査
「ユーザーの詳細パネル」の操作・実務
Webサイト（Thunderbird で Gmail を利用する | Gmailの使い方）の閲覧・調査
Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（Microsoft 365 の管理）の閲覧・調査
Webサイト（チャット | M365 Copilot）の閲覧・調査
Webサイト（Microsoft 365 ユーザー アカウントを管理する - Microsoft 365 Enterprise | Microsoft Learn）の閲覧・調査
「Microsoft 365 ユーザー アカウントを管理する」の操作・実務
Webサイト（Sign In | Microsoft Learn）の閲覧・調査
Webサイト（Register | Microsoft Learn）の閲覧・調査"
2026/04/10,11:00 - 11:59,Antigravityを用いた「システム開発・改善」の開発・相談
2026/04/10,12:00 - 12:59,"スクリプト（Set-DNS-Wired.bat - メモ帳）の開発・デバッグ
「タイトルなし」の操作・実務
「hosts」の操作・実務
「*hosts」の操作・実務"
2026/04/10,13:00 - 13:59,"「hosts」の操作・実務
「20240222(木)_1633_： ＿伊藤健人＿_Fwd＿ Re＿ 弊社 ネット回線の契約について.txt」の操作・実務
Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（ユーザー名簿 - サイボウズ Office）の閲覧・調査
Webサイト（メール - サイボウズ Office）の閲覧・調査
Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（Amazon | 本, ファッション, 家電から食品まで | アマゾン）の閲覧・調査
Webサイト（Thunderbirdの存続にご協力ください！ ? Thunderbird）の閲覧・調査
Webサイト（cybozu_sent_migration - ローカルフォルダー）の閲覧・調査
Webサイト（受信トレイ - ローカルフォルダー）の閲覧・調査
「受信トレイ (10,871)」の操作・実務
「""TEST"" (75)」の操作・実務
Webサイト（TEST - t_ito@forest.co.jp）の閲覧・調査
「""TEST"" (81)」の操作・実務
「Re: 東日本物流センター アクセスポイントのファームウェアアップデートについて」の操作・実務
Webサイト（amazon.co.jp/?&tag=hydraamazonav-22&ref=pd_sl_7ibq2d37on_e&adgrpid=157529192841&hvpone=&hvptwo=&hvadid=675114138690&hvpos=&hvnetw=g&hvrand=13202532427194549824&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1009235&hvtargid=kwd-10573980&hydadcr=27922_14701883）の閲覧・調査
Webサイト（Amazon.co.jp : usb-typec hdmiUSB-TypeC）の閲覧・調査
「フォレストウェイ | 事務・オフィス用品の通販」の操作・実務
「""TEST"" (60)」の操作・実務
「起動しています」の操作・実務
Word文書（新規 Microsoft Word 文書.docx）の資料作成・編集
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（フォーレスト社内ポータル）の閲覧・調査"
2026/04/10,14:00 - 14:59,"Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（掲示の詳細 - サイボウズ Office）の閲覧・調査
PDF資料（FRT組織図-20260401 (1).pdf）の閲覧・内容確認
PDF資料（file:///C:/Users/026~1/AppData/Local/Temp/MicrosoftEdgeDownloads/599e572c-c44b-4b18-b3f7-64d98999c59b/FRT組織図-20260401%20(1).pdf）の閲覧・内容確認
Word文書（新規 Microsoft Word 文書.docx）の資料作成・編集
Excelファイル（新規タスク記録表.xlsx）のデータ入力・編集
Excelファイル（社内便送り状（注意書き）.xlsx ）のデータ入力・編集
「起動しています」の操作・実務
Word文書（20250210_社内便送り状.docx ）の資料作成・編集
Word文書（20250210_社内便送り状.docx）の資料作成・編集
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
「20220426(火)_1017_境秀行_基幹端末のBIOSパスワード.txt」の操作・実務
PDF資料（Acrobat-for-Chrome.pdf）の閲覧・内容確認
「20260403(金)_1558_田中史一_CS改善プロジェクト会議について.txt」の操作・実務
Webサイト（NotebookLM）の閲覧・調査
「20260403(金)_1558_田中史一_CS改善プロジェクト会議について.md」の操作・実務
Webサイト（CS Improvement Project Meeting Coordination - NotebookLM）の閲覧・調査"
2026/04/10,15:00 - 15:59,"Word文書（新規 Microsoft Word 文書.docx）の資料作成・編集
Webサイト（cybozu_sent_migration - ローカルフォルダー）の閲覧・調査
PDF資料（①2025年度_下期_人事評価(概要).pdf）の閲覧・内容確認
PDF資料（サイボウズ社内メール抽出ツール説明.pdf）の閲覧・内容確認
Word文書（サイボウズ社内メール抽出ツール説明.docx）の資料作成・編集
Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
「20260403(金)_1558_田中史一_CS改善プロジェクト会議について.md」の操作・実務"
2026/04/10,16:00 - 16:59,"プログラム（Fix pagination bypass bug in internal email exporter）の開発および修正
Antigravityを用いた「システム開発・改善」の開発・相談
「20260403(金)_1558_田中史一_CS改善プロジェクト会議について.md」の操作・実務
Excelファイル（新規タスク記録表.xlsx）のデータ入力・編集
「SQL.XLS」の操作・実務
「コピーテーブル・フィールド一覧.xls 」の操作・実務
「HP 830G8　HDMI　タイプCを外すと画面が移ったままフリーズする。これは何？」の操作・実務
Webサイト（Amazon | 本, ファッション, 家電から食品まで | アマゾン）の閲覧・調査
Webサイト（掲示の詳細 - サイボウズ Office）の閲覧・調査
PDF資料（file:///C:/Users/026~1/AppData/Local/Temp/MicrosoftEdgeDownloads/599e572c-c44b-4b18-b3f7-64d98999c59b/FRT組織図-20260401%20(1).pdf）の閲覧・内容確認
Webサイト（CS Improvement Project Meeting Coordination - NotebookLM）の閲覧・調査
Webサイト（「警告灯で停車」キャリアカーが炎上 福岡 | Watch）の閲覧・調査
PDF資料（Acrobat-for-Chrome.pdf）の閲覧・内容確認
Webサイト（Gemini）の閲覧・調査
Webサイト（アナリティクスレポートツールを、無料でまとめて比較）の閲覧・調査
Webサイト（NotebookLMに自作PCの仕様を読み込ませたら、トラブルの悩みが一気に消えた | ライフハッカー・ジャパン）の閲覧・調査
Webサイト（「Geminiより優秀」の声も。NotebookLMを200%使い倒す裏ワザ10選 | ライフハッカー・ジャパン）の閲覧・調査
Webサイト（カテゴリー一覧 | ライフハッカー・ジャパン）の閲覧・調査
Webサイト（AI活用のニュース・記事一覧 | ライフハッカー・ジャパン）の閲覧・調査
Webサイト（Gemini in Chromeで手作業は「完全自動」へ。タブの往復も画像保存もゼロに | ライフハッカー・ジャパン）の閲覧・調査
Webサイト（Chrome の AI  |  AI on Chrome  |  Chrome for Developers）の閲覧・調査
Webサイト（Gemini in Chrome - ブラウザに直接組み込まれた AI アシスタント）の閲覧・調査
Webサイト（Chrome で Gemini を使用する - コンピューター - Gemini アプリ ヘルプ）の閲覧・調査
Webサイト（Use Gemini in Chrome - Computer - Gemini アプリ ヘルプ）の閲覧・調査
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの送信 - サイボウズ Office）の閲覧・調査
「開いているファイル」の操作・実務
プログラム（feat: ビルド用バッチファイルの追加とプロジェクトディレクトリの整理）の開発および修正"
2026/04/10,17:00 - 17:59,"Webサイト（ウォレットと定期購入）の閲覧・調査
Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
「受信トレイ (10,890)」の操作・実務
「""TEST"" (59)」の操作・実務
Webサイト（Mozilla Thunderbird）の閲覧・調査
Webサイト（cybozu_sent_migration - ローカルフォルダー）の閲覧・調査
Webサイト（TEST - t_ito@forest.co.jp）の閲覧・調査
「""TEST"" (58)」の操作・実務
「""TEST"" (57)」の操作・実務
「Re: Fwd: （ココデカウ）公式キャラクター名の公募による商標登録の出願（M2025-261)」の操作・実務
Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（メール - サイボウズ Office）の閲覧・調査
Webサイト（フォーレスト社内ポータル）の閲覧・調査
Webサイト（Close window）の閲覧・調査
Webサイト（フォーレスト社内ポータル - 掲示板）の閲覧・調査
「フォーレスト社内ポータル」の操作・実務
Webサイト（フォーレスト社内ポータル - ダッシュボード）の閲覧・調査
「""TEST"" (55)」の操作・実務"
2026/04/10,18:00 - 18:59,"Webサイト（メール - サイボウズ Office）の閲覧・調査
Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（《京都小6男児行方不明》地域住民が「焼却炉の中を覗いていた」と新証言…ヤフコメでは「元気な姿で見つかってほしい」「家出してましたとかでいいので」と無事を願う声）の閲覧・調査
Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（メール本文 - サイボウズ Office）の閲覧・調査
Webサイト（エラー 14603 - サイボウズ Office）の閲覧・調査
Webサイト（《京都・小6男児行方不明》「生きていると100パーセント思ってます」スーパーボランティア尾畠さんが直面した“府外ボランティア”の壁「ちょっとどころじゃなく悔しい」）の閲覧・調査"
2026/04/13,09:00 - 09:59,"Webサイト（Pinterest - ピンタレスト）の閲覧・調査
「Pinterest」の操作・実務
Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（メール - サイボウズ Office）の閲覧・調査
Webサイト（アカウントを選択してください）の閲覧・調査
「起動しています」の操作・実務
Excelファイル（新規タスク記録表.xlsx）のデータ入力・編集
Webサイト（スケジュール（グループ週表示） - サイボウズ Office）の閲覧・調査"
