日付,カテゴリ,発生日時,終了日時,実作業時間(概算),内容（転記用）
2026/04/10,その他,09:20,17:00,0:49,"本人確認 - Google Chrome (09:20～09:23) / ホーム - - My profile １ - Microsoft? Edge (09:40～09:40) / ホーム - (09:40～09:45) / スタート (09:47～09:47, 16:06～16:07) / 契約状況 (13:17～13:22) / 翻訳済み (16:21～16:26) / 定期購入 (17:00～17:05)"
2026/04/10,サイボウズ関連,09:10,18:54,5:01,"サイボウズ（予定の詳細）の操作 (09:10～09:15) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderIndex）の操作 (09:10～09:15) / サイボウズ（個人フォルダ）の操作 (09:10～09:10, 09:44～09:44, 13:50～14:26, 15:16～15:40, 16:35～16:51, 17:17～17:46, 18:24～18:24) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderMessageView&mDBID=10&mEID=90109&mDID=296621&cp=ml&sp=&tp=）の操作 (09:11～09:16) / サイボウズ（メッセージの詳細）の操作 (09:11～09:11, 09:39～09:52, 13:51～13:58, 15:22～15:40, 16:36～16:49, 17:17～17:52, 18:24～18:25) / サイボウズ（トップページ）の操作 (09:44～09:44, 13:15～13:20, 13:47～14:26, 14:58～15:19, 16:35～16:37, 17:34～17:53, 18:23～18:36, 18:54～18:54) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderMessageView&mDBID=9&mEID=90110&mDID=300069&cp=ml&sp=&tp=）の操作 (09:44～09:49) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=CloudLogin および他 2 ページ）の操作 (13:15～13:16, 17:34～17:41) / サイボウズ（forestway.cybozu.com/logout）の操作 (13:15～13:17, 13:58～13:58, 17:34～17:52, 18:24～18:32) / サイボウズ（forestway.cybozu.com/logout および他 2 ページ）の操作 (13:15～13:17, 13:58～13:58, 17:34～17:41) / サイボウズ（ユーザ..."
2026/04/10,システム開発,09:12,18:35,3:12,"Antigravityでの「システム開発・改善」の開発・相談 (09:12～09:12, 11:53～11:53, 13:18～13:51, 15:14～15:22, 15:54～17:14, 17:30～17:53, 18:22～18:35) / プログラム（Fix pagination bypass bug in internal email exporter）の開発・修正 (16:05～16:10) / プログラム（feat: ビルド用バッチファイルの追加とプロジェクトディレクトリの整理）の開発・修正 (16:59～17:04)"
2026/04/10,メール対応,09:12,18:31,1:24,"メールの閲覧・作成 (09:12～09:20, 09:43～09:44, 10:17～10:17, 13:25～13:55, 17:18～17:30, 17:52～17:52, 18:31～18:36)"
2026/04/10,事務・データ処理,14:00,17:14,0:51,"PDF（FRT組織図-20260401 (1).pdf および他 3 ページ）の確認 (14:00～14:14) / PDF（FRT組織図-20260401 (1).pdf）の確認 (14:00～14:05) / PDF（file:///C:/Users/026~1/AppData/Local/Temp/MicrosoftEdgeDownloads/599e572c-c44b-4b18-b3f7-64d98999c59b/FRT組織図-20260401%20(1).pdf）の確認 (14:00～14:00, 16:10～16:15) / Excel（新規タスク記録表.xlsx）の入力・編集 (14:06～14:19, 16:07～16:12) / Excel（社内便送り状（注意書き）.xlsx ）の入力・編集 (14:06～14:11) / PDF（Acrobat-for-Chrome.pdf）の確認 (14:17～14:17, 16:14～16:14) / PDF（①2025年度_下期_人事評価(概要).pdf）の確認 (15:08～15:13) / PDF（サイボウズ社内メール抽出ツール説明.pdf）の確認 (15:08～15:13) / PDF（chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://acrobat.adobe.com/dc-chrome-extension/mv/ja/Acrobat-for-Chrome.pdf）の確認 (16:14～16:19) / PDF（file:///C:/Users/026~1/AppData/Local/Temp/MicrosoftEdgeDownloads/599e572c-c44b-4b18-b3f7-64d98999c59b/FRT組織図-20260401%20(1).pdf および他 4 ページ）の確認 (17:14～17:19) / PDF（file:///C:/Users/026~1/AppData/Local/Temp/MicrosoftEdgeDownloads/599e572c-c44b-4b18-b3f7-64d98999c59b/FRT組織図-20260401%20(1).pdf および他 3 ページ）の確認 (17:14..."
2026/04/10,情報調査,09:12,18:54,7:00,"Web（テスト）の調査 (09:12～09:12, 10:17～10:17, 13:27～13:27) / Web（Gemini）の調査 (09:12～09:47, 16:14～16:14, 18:31～18:36) / Web（リダイレクト中）の調査 (09:20～09:25) / Web（お客様のアカウント保護にご協力ください）の調査 (09:20～09:25) / Web（伊藤 健人）の調査 (09:20～09:25) / Web（CLASSリリース運用記録：ココデカウ・Forestway保守履歴）の調査 (09:20～09:25) / Web（ある日急にBitLockerでパスワードを求められる。）の調査 (09:21～09:27, 09:45～09:50) / Web（bitlockerに回復キーを要求されるループに陥った後の対処）の調査 (09:22～09:25) / Web（BitLocker解除ができずPCが立ち上がらない）の調査 (09:22～09:27) / Web（BitLocker回復キーを突然求められる原因と確認方法をわかりやすく解説｜データ復旧・復元サービス【デジタルデータリカバリー】）の調査 (09:25～09:25) / Web（リモート デスクトップ接続 のジャンプ リスト）の調査 (09:29～09:29, 09:47～09:47, 13:22～13:22, 14:17～14:22) / Web（リモート デスクトップ接続）の調査 (09:29～09:29, 09:46～09:46, 13:22～13:23) / Web（192.169.5.5）の調査 (09:29～09:46, 13:22～13:23) / Web（My Account）の調査 (09:38～09:40) / Web（マイ アカウント）の調査 (09:39～09:41) / Web（パスワードを保存しますか？）の調査 (09:39～09:44) / Web（admin.microsoft.com/?auth_upn=t_ito%40forestwayoffice.onmicrosoft.com&source=applauncher#/homepage）の調査 (09:40～09:40) / Web（admin.cloud.microsoft/?auth_u..."
2026/04/13,その他,09:31,18:45,1:13,"ようこそ (09:31～09:31) / 並べ替え (09:49～09:54) / 設定 - Google Chrome (10:55～11:00) / スタート (14:15～14:15, 18:45～18:50) / Meet - Google Chrome (15:06～15:11) / Meet (15:06～15:06, 17:12～17:12) / 0% 完了 (15:42～15:42, 18:13～18:23) / 進行状況 (15:42～15:42, 18:12～18:17) / 1% 完了 (18:13～18:18) / 2% 完了 (18:13～18:18) / 名前の変更 (18:32～18:37)"
2026/04/13,サイボウズ関連,09:07,20:39,8:10,"サイボウズ（forestway.cybozu.com/logout）の操作 (09:07～09:11) / サイボウズ（forestway.cybozu.com/logout および他 3 ページ）の操作 (09:07～09:12) / サイボウズ（トップページ）の操作 (09:07～09:11, 09:31～09:31, 10:38～10:51, 11:07～11:58, 12:51～12:53, 13:36～13:36, 15:43～15:43, 16:07～16:18, 16:35～17:01, 19:50～19:50, 20:30～20:35) / サイボウズ（個人フォルダ）の操作 (09:07～09:07, 09:25～09:31, 10:04～10:04, 11:07～11:07, 11:29～11:42, 13:38～13:38, 14:21～14:21, 14:46～14:46, 15:44～15:46, 17:11～17:15) / サイボウズ（メッセージの詳細）の操作 (09:08～09:38, 10:04～10:16, 11:29～11:30, 14:21～14:46, 15:44～15:46, 17:11～17:15, 17:56～18:01) / サイボウズ（サイボウズOffice Eメール バックアップツール）の操作 (09:09～09:09, 10:49～10:51, 11:06～12:15, 12:50～13:02, 13:21～13:54, 14:48～14:57, 15:41～15:47, 16:06～16:11) / サイボウズ（https://forestway.cybozu.com/logout）の操作 (09:11～09:16) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MailIndex）の操作 (09:11～09:11, 14:50～14:55) / サイボウズ（メール）の操作 (09:11～09:30, 09:58～10:06, 10:36～12:14, 12:49～13:07, 13:35～13:42, 14:19～14:19, 14:49～15:05, 15:43～17:11, 17:56～17:56, 18:12～18:12, 19:46～19:50, 20:3..."
2026/04/13,システム開発,09:09,20:28,4:38,"Antigravityでの「システム開発・改善」の開発・相談 (09:09～09:09, 09:30～09:30, 10:04～10:04, 10:49～10:49, 11:06～11:58, 12:50～13:02, 13:21～13:42, 14:48～15:05, 15:41～17:01, 17:56～18:21, 19:48～19:55, 20:24～20:28)"
2026/04/13,メール対応,10:13,17:14,0:51,"メールの閲覧・作成 (10:13～10:28, 11:11～11:11, 13:42～13:43, 15:03～15:06, 15:45～15:46, 17:11～17:14)"
