Timestamp,ActiveApp,EventType,TargetName,Metadata,AI解析要約
2026-08-12 14:43:22,AI_DX_Logger.exe,Copy,DX推進アシスタント (AIロガー),"Size:69 chars, Data:[Z:\システム統括部\システム部\システム運営課\products\自動データ取得結果\商品部在庫管理課\長期欠品フラグ更新\0812手動...]",AIロガーが、ファイルパス「Z:\システム統括部\システム部\システム運営課\products\自動データ取得結果\商品部在庫管理課\長期欠品フラグ更新\0812手動...」をクリップボードにコピーしている。
2026-08-12 14:43:26,explorer.exe,PotentialTransfer (Paste),基幹→OA - エクスプローラー,"Source: AI_DX_Logger.exe, Data:[Z:\システム統括部\システム部\システム運営課\products\自動データ取得結果\商品部在庫管...]",エクスプローラー上で、クリップボードに保存されたファイルパス「Z:\システム統括部\システム部\システム運営課\products\自動データ取得管...」を貼り付けている。
2026-08-12 14:43:32,explorer.exe,KeyLog,基幹→OA - エクスプローラー,"Keys:[ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l][ctrl_l]",エクスプローラー上で、左Ctrlキーを繰り返し押下している。
2026-08-12 14:43:33,EXCEL.EXE,PotentialTransfer (Paste),起動しています - Excel,"Source: AI_DX_Logger.exe, Data:[Z:\システム統括部\システム部\システム運営課\products\自動データ取得結果\商品部在庫管...]",Excelの起動画面で、クリップボードに保存されたファイルパス「Z:\システム統括部\システム部\システム運営課\products\自動データ取得管...」を貼り付けようとしている。
2026-08-12 14:44:01,excel.exe,WorkbookOpen,長期欠品設定解除依頼.xlsx,,Excelで「長期欠品設定解除依頼.xlsx」というファイルをオープンしている。
2026-08-12 14:44:38,EXCEL.EXE,KeyLog,0812長期欠品管理表.xlsb - Excel,"Keys:[ctrl_l][ctrl_l][ctrl_l][ctrl_l][Ctrl+C]",Excelファイル「0812長期欠品管理表.xlsb」上で、左Ctrlキーを繰り返し押した後、【Ctrl+C】キーを押下して、現在選択されている範囲のデータをコピーしている。
2026-08-12 14:44:45,EXCEL.EXE,Copy,【長期欠品更新専用】品目情報.csv - Excel,"Size:75923081 chars, Data:[品目cd(em190)	仕入先cd(em190)	仕入先名称(em120)	倉庫cd(ef10)	品目名(em160)	Jan Cd(em164)	仕入荷姿名(em170)	仕入時最小荷姿換算数(em...)]",Excelファイル「【長期欠品更新専用】品目情報.csv」から、データ「品目cd(em190)	仕入先cd(em190)	仕入先名称(em120)	倉庫cd(ef10)	品目名(em160)	Jan Cd(em164)	仕入荷姿名(em170)	仕入時最小荷姿換算数(em...)」をクリップボードにコピーしている。
2026-08-12 14:44:47,EXCEL.EXE,KeyLog,,Keys:[alt_l][tab][ctrl_l][ctrl_l][ctrl_l][Ctrl+C][alt_l][tab],Excel上で、【Alt+Tab】キーを押下して別ウィンドウに切り替え、左Ctrlキーを繰り返し押した後、【Ctrl+C】キーを押下してデータをコピーし、再度【Alt+Tab】キーで元のExcelウィンドウに戻っている。
2026-08-12 14:44:51,EXCEL.EXE,KeyLog,0812長期欠品管理表.xlsb - Excel,"Keys:[ctrl_l][Ctrl+V]",Excelファイル「0812長期欠品管理表.xlsb」上で、左Ctrlキーを押した後、【Ctrl+V】キーを押下して、クリップボードのデータを貼り付けている。
2026-08-12 14:45:18,EXCEL.EXE,KeyLog,0812長期欠品管理表.xlsb - Excel,"Keys:[alt_l][tab][ctrl_l][ctrl_l][Ctrl+C][alt_l][tab][ctrl_l][Ctrl+V]",Excelファイル「0812長期欠品管理表.xlsb」上で、【Alt+Tab】キーを押下して別ウィンドウに切り替え、【Ctrl+C】キーを押下してデータをコピーし、再度【Alt+Tab】キーで元のExcelウィンドウに戻り、【Ctrl+V】キーを押下してデータを貼り付けている。
