Timestamp,ActiveApp,EventType,TargetName,Metadata,AI解析要約
2026-08-10 13:54:44,excel.exe,SheetChange,Excel,"Sheet:発注データ入力, Cell:$A$6:$G$15, Value:((None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None))",「発注データ入力」シートのセルA6からG15の範囲のデータをクリアしている（ValueがNoneに設定されている）。
2026-08-10 13:54:46,EXCEL.EXE,KeyLog,テスト発注業務_数式手入力用.xlsx - Excel,Keys:[delete],アクティブセル（または選択範囲）の値をキーボードの[delete]キーで削除している。
2026-08-10 13:54:49,excel.exe,SheetChange,Excel,"Sheet:発注データ入力, Cell:$A$6:$A$15, Value:(2026-08-12 00:00:00+00:00, 2026-08-13 00:00:00+00:00, 2026-08-14 00:00:00+00:00, ((pywintypes.datetime(2026, 8, 15, 0, 0, tzinfo=TimeZoneInfo('GMT Standard Time', True)),), (pywintypes.datetime(2026, 8, 16, 0, 0, tzinfo=TimeZoneInfo('GMT Standard Time', True)),), (pywintypes.datetime(2026, 8, 17, 0, 0, tzinfo=TimeZoneInfo('GMT Standard Time', True)),), (pywintypes.datetime(2026, 8, 18, 0, 0, tzinfo=TimeZoneInfo('GMT Standard Time', True)),), (pywintypes.datetime(2026, 8, 19, 0, 0, tzinfo=TimeZoneInfo('GMT Standard Time', True)),), (pywintypes.datetime(2026, 8, 20, 0, 0, tzinfo=TimeZoneInfo('GMT Standard Time', True)),), (pywintypes.datetime(2026, 8, 21, 0, 0, tzinfo=TimeZoneInfo('GMT Standard Time', True)),)))",「発注データ入力」シートのセルA6に「2026/8/12」、セルA7に「2026/8/13」、セルA8に「2026/8/14」をそれぞれ手入力している。その後、セルA6からA15までをオートフィル機能（ドラッグ）で連続する日付データ（A9には「2026/8/15」以降、A15には「2026/8/21」）を入力している。
2026-08-10 13:54:57,EXCEL.EXE,KeyLog,テスト発注業務_数式手入力用.xlsx - Excel,Keys:/[enter][enter][up]/[enter][up][down]/[enter],キーボードで「/」キーを押した後、[Enter]キーを複数回押してセルを移動・確定し、[Up]、[Down]キーでセルを選択している。これはナビゲーションや確定操作である。
2026-08-10 13:55:04,excel.exe,SheetChange,Excel,"Sheet:発注データ入力, Cell:$B$6:$B$15, Value:(A001, A002, A003, A004, ('A005',), ('A006',), ('A007',), ('A008',), ('A009',), ('A010',))",「発注データ入力」シートのセルB6に「A001」、セルB7に「A002」、セルB8に「A003」、セルB9に「A004」をそれぞれキーボードで手入力している。さらに、セルB10からB15まで「A005」から「A010」をキーボードで連続して手入力している。この際、[shift]キーを繰り返し使用し、[backspace]キーで修正しながら入力し、[enter]キーで確定している。
2026-08-10 13:55:42,EXCEL.EXE,KeyLog,テスト発注業務_数式手入力用.xlsx - Excel,Keys:[shift][shift][shift][shift][shift][shift][shift][shift][shift]=[shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift]VLOOKUP[shift][shift][shift][shift][shift][shift][shift][shift])[ctrl_l] [shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][backspace][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift][shift](),キーボードで「=」（Shift+=）を入力し、続けて「VLOOKUP」とタイプしている。VLOOKUP関数の関数名の入力とカッコの開始（[shift]キーと[9]キー）が行われている。また、[ctrl_l]キーや[shift]キーが頻繁に押されており、詳細なカーソル移動や選択、またはオートコンプリートの使用が強く示唆される。さらに[backspace]キーによる修正とカッコの入力も行われている。
2026-08-10 13:55:45,EXCEL.EXE,KeyLog,テスト発注業務_数式手入力用.xlsx - Excel,Keys:[left][enter],キーボードで[Left]キーを押してカーソルを移動し、[Enter]キーで数式の入力を確定している。
2026-08-10 13:55:52,EXCEL.EXE,KeyLog,テスト発注業務_数式手入力用.xlsx - Excel,"Keys:[shift][shift][shift][shift]B6,[backspace],",キーボードで「B6」とタイプした後、[Backspace]キーで文字を修正し、さらに「,」（カンマ）をタイプして数式の次の引数への区切りを入力している。Shiftキーが繰り返し押されていることから、記号入力が行われたことが示唆される。
2026-08-10 13:55:58,EXCEL.EXE,KeyLog,テスト発注業務_数式手入力用.xlsx - Excel,Keys:syouhinnmasuta[space][enter],キーボードで「syouhinnmasuta」とタイプし、[Space]キーと[Enter]キーで入力を確定している（VLOOKUP関数のテーブル/範囲引数として、おそらく「syouhinnmasuta」という名前の範囲またはシート名を指定）。
2026-08-10 13:56:03,EXCEL.EXE,KeyLog,テスト発注業務_数式手入力用.xlsx - Excel,Keys:[shift][shift][shift][shift][shift]!A:[shift][shift][shift][shift][shift]C,キーボードで「!A:C」とタイプし、シート名またはブック名の後に続けて列範囲「A:C」を指定している（VLOOKUP関数の検索範囲として、「A:C」という列範囲を指定）。Shiftキーが繰り返し押されていることから、記号入力や大文字入力を行っていることが強く示唆される。
